CountryName,CountryCode,IndicatorName,IndicatorCode,YYY,2013,2014,2015,2016,2017
Turkey,TUR,"Armed forces personnel, total",MS.MIL.TOTL.P1,612800,612800,612800,512000,512000,512000
Tanzania,TZA,"Armed forces personnel, total",MS.MIL.TOTL.P1,28400,28400,28400,28400,28400,28000
Uganda,UGA,"Armed forces personnel, total",MS.MIL.TOTL.P1,46800,46800,46800,46400,46400,46000
Ukraine,UKR,"Armed forces personnel, total",MS.MIL.TOTL.P1,214850,121500,204000,256000,292000,297000
Upper middle income,UMC,"Armed forces personnel, total",MS.MIL.TOTL.P1,10627224,9920333,10129440,10149060,10002490,10068000
Uruguay,URY,"Armed forces personnel, total",MS.MIL.TOTL.P1,25450,25450,25450,25450,25450,22000
United States,USA,"Armed forces personnel, total",MS.MIL.TOTL.P1,1492200,1433150,1381250,1347300,1348400,1359000
Uzbekistan,UZB,"Armed forces personnel, total",MS.MIL.TOTL.P1,68000,68000,68000,68000,68000,68000
"Venezuela, RB",VEN,"Armed forces personnel, total",MS.MIL.TOTL.P1,115000,115000,265000,265000,273000,343000
Vietnam,VNM,"Armed forces personnel, total",MS.MIL.TOTL.P1,522000,522000,522000,522000,522000,522000
World,WLD,"Armed forces personnel, total",MS.MIL.TOTL.P1,28154374,27206623,27309630,27437280,27542350,27414000
"Yemen, Rep.",YEM,"Armed forces personnel, total",MS.MIL.TOTL.P1,137900,137900,20000,20000,20000,40000
South Africa,ZAF,"Armed forces personnel, total",MS.MIL.TOTL.P1,62100,77150,82250,82150,81400,80000
Zambia,ZMB,"Armed forces personnel, total",MS.MIL.TOTL.P1,16500,16500,16500,16500,16500,16000
Zimbabwe,ZWE,"Armed forces personnel, total",MS.MIL.TOTL.P1,50800,50800,50800,50800,50800,51000
